Sub_ID,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q71,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q21,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q36,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q45,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q48,Q49,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q51,Q52,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q54,Q55,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q57,Q58,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q60,Q61,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Q62_6,Q63,Q64,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q66,Q67,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q69,Q73,Q73,LocationLatitude,LocationLongitude,LocationAccuracy
11,Default Response Set,Anonymous,,,192.232.174.251,0,7/30/2016 10:29,7/30/2016 10:47,1,720714,1,4,5,4,5,4,5,6,2,4,6,6,6,5,5,5,2,4,7,7,6,7,5,6,4,1,6,6,6,3,1,1,4,1,6,6,6,1,1,1,3,2,6,5,5,5,3,3,3,4,6,7,6,6,4,6,2,3,6,6,6,5,4,5,2,3,6,6,6,5,4,4,4,2,6,6,5,6,5,5,4,3,7,7,6,7,5,5,3,1,6,6,6,1,1,1,5,1,6,6,6,5,1,1,4,3,6,6,6,5,5,5,3,4,6,6,6,7,5,5,4,2,6,7,6,5,2,3,4,1,2,5,5,4,5,4,3,1,6,7,6,4,1,3,4,3,6,7,6,6,2,5,4,4,6,7,6,6,6,6,1,3,6,6,6,5,4,4,4,4,7,7,6,5,5,5,4,23,1,37.33700562,-89.5911026,-1
12,Default Response Set,Anonymous,,,170.253.177.69,0,7/30/2016 10:32,7/30/2016 10:48,1,439272,1,5,6,5,5,5,4,5,2,4,5,6,5,6,5,6,1,2,5,5,5,2,2,3,4,2,5,5,5,3,2,2,5,3,5,4,5,5,4,4,2,4,5,6,5,5,6,6,2,2,6,5,6,5,6,6,1,5,5,5,6,5,5,6,2,1,2,3,6,2,3,3,4,4,6,5,5,6,6,5,1,5,5,6,5,6,6,6,2,1,6,6,5,2,1,1,5,4,5,6,5,5,6,4,2,4,6,6,6,6,6,5,1,2,6,5,5,2,3,3,4,2,5,6,5,6,6,5,4,4,5,6,5,6,4,6,2,5,6,6,6,6,5,6,2,4,5,3,6,4,5,5,3,3,6,6,6,4,4,6,3,1,6,6,6,2,2,2,5,3,6,6,6,4,2,4,4,20,1,34.3401947,-89.48329926,-1
13,Default Response Set,Anonymous,,,23.27.50.118,0,7/30/2016 10:29,7/30/2016 10:48,1,678025,1,5,5,4,6,6,6,6,3,4,6,7,5,4,6,6,2,4,6,6,6,7,6,6,3,5,6,7,5,6,6,6,1,5,6,5,5,6,6,7,3,4,5,6,6,5,5,6,3,4,5,5,4,5,6,6,3,5,6,6,6,6,6,6,3,5,7,6,5,6,6,7,3,4,7,4,5,6,6,5,1,4,6,6,5,6,7,6,2,5,7,6,5,7,5,6,1,5,4,5,6,4,5,6,1,5,6,6,5,6,4,5,2,5,7,7,6,6,6,6,3,5,6,6,5,6,6,5,2,4,6,7,7,6,6,7,2,5,5,7,6,6,6,6,1,5,5,5,6,7,5,6,2,5,7,7,5,7,6,5,1,5,6,6,5,6,5,6,2,5,7,6,5,7,5,5,1,1978,1,37.33869934,-121.8914032,-1
14,Default Response Set,Anonymous,,,67.86.210.147,0,7/30/2016 10:36,7/30/2016 10:49,1,543985,1,3,5,5,4,3,4,4,3,3,5,4,4,3,1,4,4,3,4,5,4,4,1,1,5,3,7,6,7,5,1,5,4,3,3,3,3,1,1,1,5,1,2,4,2,5,1,1,5,3,7,7,7,7,4,4,4,4,7,7,7,7,7,7,4,1,6,6,6,1,1,1,5,3,6,6,6,6,3,4,4,3,7,6,6,6,1,1,5,1,5,2,6,6,1,1,5,1,2,2,2,1,1,1,4,4,5,5,5,4,4,5,1,1,7,7,7,7,1,4,5,1,7,6,6,6,1,4,5,3,7,7,7,4,1,4,4,4,7,7,7,4,4,7,5,4,7,7,7,6,1,7,4,4,7,7,7,7,4,5,4,1,6,7,6,7,1,1,5,3,6,6,6,6,4,1,4,50,1,40.76699829,-73.52539825,-1
15,Default Response Set,Anonymous,,,65.183.130.237,0,7/30/2016 10:35,7/30/2016 10:50,1,758707,1,2,5,5,5,3,3,6,3,3,5,6,5,4,5,5,2,3,7,7,7,6,5,6,2,4,6,7,7,6,6,6,2,4,5,4,5,3,4,4,1,2,5,6,5,3,3,4,1,2,7,7,7,7,4,6,4,4,7,7,7,7,5,6,2,4,5,6,5,5,4,5,1,2,7,7,7,7,4,7,4,4,7,7,7,7,5,6,4,4,5,7,6,7,5,6,2,4,5,5,5,4,5,6,2,5,5,6,5,5,7,6,1,3,7,7,7,7,5,6,4,3,7,7,7,7,6,6,4,3,6,5,5,6,5,4,3,4,7,7,7,6,4,7,3,5,7,7,7,7,5,7,4,3,7,7,7,6,5,6,4,4,6,6,6,6,5,5,2,3,5,6,6,6,4,5,2,24,1,44.49290466,-73.22530365,-1
16,Default Response Set,Anonymous,,,76.28.237.167,0,7/30/2016 10:41,7/30/2016 10:51,1,629089,1,1,6,6,6,5,5,5,4,3,5,5,5,5,3,4,2,4,7,7,7,7,4,5,5,2,6,7,7,5,4,5,5,4,5,6,6,6,5,5,5,4,6,6,6,5,5,6,2,4,6,7,6,6,5,5,5,4,6,7,7,7,6,6,2,3,6,6,6,6,4,5,5,1,7,7,6,6,4,5,4,4,7,7,7,7,6,6,5,1,5,5,5,5,1,1,4,4,5,6,6,5,6,7,4,4,5,6,6,6,7,6,4,4,7,7,6,7,5,5,4,4,7,7,7,6,4,6,4,4,5,5,5,6,5,4,2,1,6,6,6,5,2,4,5,4,7,7,6,7,5,7,4,4,6,6,6,6,5,5,3,4,5,5,5,4,4,5,4,4,7,7,7,5,5,6,5,24,1,47.63439941,-122.3422012,-1
17,Default Response Set,Anonymous,,,99.120.151.18,0,7/30/2016 10:32,7/30/2016 10:52,1,119039,1,4,2,4,3,2,5,7,3,2,2,3,2,1,1,1,5,1,5,4,4,5,2,2,5,1,4,5,4,6,1,3,4,2,4,5,3,3,5,5,3,1,4,2,2,2,5,5,3,4,6,7,6,5,3,5,2,5,6,7,6,6,6,7,3,1,3,3,2,2,1,2,4,4,4,5,4,5,5,4,3,5,7,6,6,7,3,3,4,1,3,4,4,5,2,2,3,1,3,2,2,1,2,1,3,5,3,5,4,4,5,5,2,1,4,5,5,5,2,1,5,4,4,5,5,6,5,6,4,4,3,4,4,4,7,7,2,2,6,7,6,4,3,5,2,5,3,5,4,6,5,5,2,2,5,5,5,6,4,3,3,1,2,2,3,2,3,4,4,5,6,5,6,7,7,6,4,26,1,32.63609314,-117.0531998,-1
18,Default Response Set,Anonymous,,,76.101.242.148,0,7/30/2016 10:39,7/30/2016 10:52,1,734304,1,4,5,5,5,5,5,6,3,3,5,6,5,6,5,5,2,3,5,6,6,6,6,6,3,3,4,6,6,5,4,6,4,5,4,5,4,4,4,5,1,4,5,5,4,5,4,5,1,3,5,6,6,5,5,5,2,5,5,6,6,3,5,6,1,2,5,4,5,6,5,4,4,4,6,6,5,6,6,5,2,2,6,4,6,5,6,6,5,4,5,6,7,7,7,7,3,1,5,4,3,3,6,5,2,2,5,6,6,5,5,5,3,4,5,4,5,5,5,4,2,2,7,6,6,6,7,6,4,3,4,5,5,4,5,5,2,4,6,7,6,7,6,6,4,3,6,5,6,5,5,5,2,1,4,4,4,6,5,5,2,2,6,6,6,7,6,7,3,1,6,5,5,6,5,5,4,30,1,26.62539673,-81.62480164,-1
19,Default Response Set,Anonymous,,,73.101.142.191,0,7/30/2016 10:33,7/30/2016 10:52,1,505648,1,3,6,5,3,4,5,6,2,1,1,1,1,1,1,1,2,5,7,7,7,7,7,7,2,4,7,7,6,5,5,7,4,1,5,5,5,4,4,6,2,5,6,7,7,7,7,7,1,4,7,6,6,6,4,6,4,5,7,7,7,7,7,7,1,1,5,5,5,1,1,1,2,5,6,7,5,5,6,7,1,4,6,7,6,7,4,4,4,1,6,7,7,1,1,1,2,1,1,1,1,1,1,1,4,4,6,7,7,6,7,5,1,1,7,7,6,3,2,2,5,4,7,7,6,7,4,5,4,4,5,4,5,4,5,4,2,4,7,5,7,6,2,4,5,4,7,6,5,6,4,6,3,5,7,4,6,7,7,5,1,3,7,5,6,3,2,3,1,4,6,7,6,5,1,6,4,24,1,40.01119995,-76.25140381,-1
20,Default Response Set,Anonymous,,,75.170.78.121,0,7/30/2016 10:37,7/30/2016 10:53,1,591249,1,1,4,5,3,4,3,4,3,1,6,6,6,6,4,4,5,1,6,6,6,6,2,4,5,2,6,6,6,6,4,4,4,1,6,6,6,4,5,4,5,1,6,6,6,6,2,4,5,3,7,6,6,5,4,4,4,4,6,6,6,6,4,4,1,1,6,6,6,6,1,4,5,2,6,6,6,6,3,4,4,1,6,6,6,6,2,4,5,2,6,5,6,6,4,4,3,1,5,5,6,5,4,4,3,4,6,6,6,6,5,4,2,1,6,6,6,4,2,4,4,1,6,6,6,6,1,4,5,3,6,6,6,6,5,6,2,4,6,6,6,5,5,4,4,3,6,6,5,6,4,4,4,4,6,6,5,5,4,4,2,1,5,6,6,6,2,2,5,2,6,6,6,6,2,4,4,54,1,44.63639832,-123.0065002,-1
